,구별,소계,인구수,한국인,외국인,고령자,외국인비율,고령자비율
0,강남구,2780,570500,565550,4950,63167,0.8676599474145487,11.07221735319895
1,강동구,773,453233,449019,4214,54622,0.9297646023127177,12.051637899270354
2,강북구,748,330192,326686,3506,54813,1.0618064641178466,16.600341619421428
3,강서구,884,603772,597248,6524,72548,1.080540336418383,12.015794041459358
4,관악구,1496,525515,507203,18312,68082,3.4845817911953034,12.955291475980705
5,광진구,707,372164,357211,14953,42214,4.017852344665255,11.34284885158156
6,구로구,1561,447874,416487,31387,56833,7.007997785091343,12.68950642368166
7,금천구,1015,255082,236353,18729,32970,7.342344814608635,12.925255408064857
8,노원구,1265,569384,565565,3819,71941,0.6707248535259157,12.634882609978504
9,도봉구,485,348646,346629,2017,51312,0.5785237748317777,14.717507156255916
10,동대문구,1294,369496,354079,15417,54173,4.172440297053283,14.661322450040053
11,동작구,1091,412520,400456,12064,56013,2.9244642683991082,13.578250751478716
12,마포구,574,389649,378566,11083,48765,2.844354791106868,12.515109752623516
13,서대문구,962,327163,314982,12181,48161,3.7232205353294843,14.720796667104777
14,서초구,1930,450310,445994,4316,51733,0.9584508449734627,11.488308054451378
15,성동구,1062,311244,303380,7864,39997,2.5266350515993885,12.850689491203044
16,성북구,1464,461260,449773,11487,64692,2.4903525126826516,14.025061787278325
17,송파구,618,667483,660584,6899,72506,1.0335843759316716,10.862598747833278
18,양천구,2034,479978,475949,4029,52975,0.8394134731175179,11.036964194192233
19,영등포구,904,402985,368072,34913,52413,8.663597900666279,13.006191297442832
20,용산구,1624,244203,229456,14747,36231,6.038828351822049,14.836427070920505
21,은평구,1873,494388,489943,4445,72334,0.899091401894868,14.631018552230232
22,종로구,1002,162820,153589,9231,25425,5.669450927404496,15.61540351308193
23,중구,671,133240,124312,8928,20764,6.700690483338337,15.583908736115282
24,중랑구,660,414503,409882,4621,56774,1.114829084469835,13.696885185390698
